CONCAT_ID,PUMA,PWGTP,AGEP
2022GQ000009401,306,94,22
2022GQ000010901,305,55,57
2022GQ000013801,301,41,20
2022GQ000041501,304,38,18
2022GQ000069301,305,11,34
2022GQ000074001,200,69,29
2022GQ000112301,200,3,20
2022GQ000116801,305,13,48
2022GQ000118701,305,16,70
2022GQ000133401,301,30,25
2022GQ000135301,301,20,24
2022GQ000211001,301,78,19
2022GQ000246701,306,45,29
2022GQ000253401,304,110,19
2022GQ000255201,306,65,40
2022GQ000273101,304,99,97
2022GQ000279501,100,67,53
2022GQ000308901,304,83,22
2022GQ000350301,100,4,21
2022GQ000352301,301,29,18
2022GQ000364101,302,16,22
2022GQ000384701,200,9,81
2022GQ000419501,100,49,38
2022GQ000449501,301,12,26
2022GQ000462701,302,435,75
2022GQ000499101,304,57,37
2022GQ000500701,306,66,23
2022GQ000530601,308,4,76
2022GQ000567201,308,97,47
2022GQ000570901,304,48,66
2022GQ000573401,305,49,40
2022GQ000578801,301,84,22
2022GQ000599801,301,45,27
2022GQ000614501,308,4,43
2022GQ000616401,301,27,21
2022GQ000626101,301,91,25
2022GQ000660001,306,6,52
2022GQ000671001,302,2,20
2022GQ000713801,100,56,28
2022GQ000733901,301,43,22
2022GQ000834701,301,32,19
2022GQ000843501,305,10,63
2022GQ000848201,200,89,35
2022GQ000872501,301,33,19
2022GQ000904101,301,78,18
2022GQ000906501,304,89,87
2022GQ000984201,301,37,19
2022GQ000989901,306,75,20
2022GQ001004801,307,25,88
2022GQ001062001,302,117,87
2022GQ001067801,302,82,24
2022GQ001086601,301,75,21
2022GQ001090801,100,60,28
2022GQ001114501,100,94,73
2022GQ001174201,306,44,20
2022GQ001206501,100,102,91
2022GQ001253501,305,16,81
2022GQ001253601,301,22,25
2022GQ001286801,305,96,89
2022GQ001296201,305,299,30
2022GQ001313801,307,31,40
2022GQ001318501,302,24,23
2022GQ001320001,306,17,62
2022GQ001376401,306,35,48
2022GQ001380201,306,95,23
2022GQ001380301,307,17,97
2022GQ001404001,307,3,38
2022GQ001405801,302,107,25
2022GQ001422701,302,31,21
2022GQ001440101,305,13,55
2022GQ001484501,302,69,21
2022GQ001505501,301,66,19
2022GQ001513201,304,72,21
2022GQ001525801,306,66,20
2022GQ001540301,306,54,45
2022GQ001576001,100,52,24
2022GQ001583601,305,70,18
2022GQ001591001,305,30,70
2022GQ001605201,306,5,31
2022GQ001635901,307,30,39
2022GQ001641301,303,13,18
2022GQ001646501,304,55,24
2022GQ001664001,200,7,84
2022GQ001671401,301,71,20
2022GQ001712201,308,9,70
2022GQ001747201,301,40,20
2022GQ001760801,305,10,23
2022GQ001762301,306,19,20
2022GQ001788201,302,30,20
2022GQ001827601,301,23,19
2022GQ001843301,305,61,19
2022GQ001878901,306,52,21
2022GQ001906901,200,51,18
2022GQ001907301,306,22,22
2022GQ001915701,200,37,23
2022GQ001922401,303,3,86
2022GQ001935401,304,95,18
2022GQ001976101,305,13,92
2022GQ001979901,100,57,32
2022GQ001993401,200,311,33
2022GQ001998701,306,34,31
2022GQ001999301,100,67,24
2022GQ002009201,306,46,69
2022GQ002061701,301,44,21
2022GQ002063401,306,6,43
2022GQ002083401,305,58,46
2022GQ002087201,301,69,23
2022GQ002089901,301,21,26
2022GQ002148201,100,5,32
2022GQ002208701,301,19,22
2022GQ002218501,307,54,89
2022GQ002249001,301,19,19
2022GQ002271201,200,58,32
2022GQ002275401,306,74,23
2022GQ002331101,306,100,97
2022GQ002333201,303,6,87
2022GQ002401901,305,57,29
2022GQ002423601,200,5,18
2022GQ002477401,305,189,55
2022GQ002580901,304,53,66
2022GQ002620401,200,9,21
2022GQ002651901,305,9,45
2022GQ002671101,306,71,21
